Source,Target,Type,Weight
1702077,1843103,Undirected,1
1702137,1868195,Undirected,3
1702137,2166511,Undirected,1
1702137,2228109,Undirected,1
1702137,3027097,Undirected,1
1702137,144344283,Undirected,2
1702137,2197900626,Undirected,1
1702137,2333944473,Undirected,1
1702139,2740804,Undirected,2
1702172,1727814,Undirected,2
1702172,2091330,Undirected,1
1702172,145967056,Undirected,4
1702290,2166511,Undirected,1
1702290,2228109,Undirected,2
1702526,145967056,Undirected,2
1702526,2302806607,Undirected,7
1702532,2969311,Undirected,3
1702868,14737712,Undirected,1
1703020,1770172,Undirected,1
1703226,145967056,Undirected,1
1703329,1784472,Undirected,1
1703674,37154480,Undirected,1
1703838,1759256,Undirected,1
1704998,31589393,Undirected,3
1705102,10685934,Undirected,2
1705102,2299942582,Undirected,1
1705434,2228109,Undirected,1
1705795,145967056,Undirected,4
1705869,1727814,Undirected,2
1706007,2969311,Undirected,2
1706007,1382034111,Undirected,1
1706040,2384763134,Undirected,1
1706075,3027097,Undirected,4
1706075,144344283,Undirected,4
1706075,145944286,Undirected,2
1706099,2999829,Undirected,1
1706099,10685934,Undirected,1
1706099,1403462444,Undirected,1
1706104,2000111554,Undirected,1
1706224,47829900,Undirected,1
1706272,2381187,Undirected,2
1706280,1745169,Undirected,4
1706280,1774579,Undirected,2
1706280,1798880,Undirected,3
1706280,3113442,Undirected,1
1706280,143731041,Undirected,1
1706280,150358650,Undirected,1
1706280,2099822432,Undirected,1
1706280,2108327687,Undirected,2
1706280,2108548762,Undirected,3
1706670,47829900,Undirected,1
1706816,40899758,Undirected,3
1706930,145967056,Undirected,1
1707357,49988044,Undirected,1
1707357,2316152845,Undirected,1
1707458,2228109,Undirected,1
1707461,33411132,Undirected,1
1707625,1689633894,Undirected,1
1707655,2092062,Undirected,5
1707655,3137763,Undirected,3
1707655,3397503,Undirected,1
1707655,6488487,Undirected,1
1707655,47916142,Undirected,1
1707655,51303653,Undirected,15
1707655,66698587,Undirected,3
1707655,67003732,Undirected,5
1707655,118593372,Undirected,1
1707655,119101370,Undirected,3
1707655,122902357,Undirected,1
1707655,123740085,Undirected,3
1707655,1402060256,Undirected,1
1707655,2092551838,Undirected,2
1707655,2117198373,Undirected,1
1707655,2119066560,Undirected,3
1707655,2125586236,Undirected,1
1707655,2182062422,Undirected,1
1707655,2297061174,Undirected,1
1707655,2335271054,Undirected,1
1707655,2349547241,Undirected,1
1707937,47829900,Undirected,1
